version,scenario,stage,mode,mean_ms,median_ms,std_dev_ms,samples,constraints
v0,1S1O,build,serial,624.40,543.05,155.31,3,
v0.1,1S1O,enrich,,9.58,9.52,0.19,3,
v0.1,1S1O,build,serial,4008.02,4182.05,375.17,3,
v0.1,1S1O,build,concurrent,2446.37,2411.85,55.62,3,
v0,1S1O,total,serial,765.53,814.97,76.60,3,
v0.1,1S1O,total,serial,3169.99,3096.29,236.10,3,
v0.1,1S1O,total,concurrent,2111.95,2118.44,44.52,3,
v0,4S1O,build,serial,1969.15,1999.36,54.20,3,
v0.1,4S1O,enrich,,22.92,20.59,3.61,3,
v0.1,4S1O,build,serial,6456.81,6435.87,38.03,3,
v0.1,4S1O,build,concurrent,3687.35,3656.77,78.27,3,
v0,4S1O,total,serial,1962.45,1971.42,72.95,3,
v0.1,4S1O,total,serial,6771.39,6790.00,109.82,3,
v0.1,4S1O,total,concurrent,3747.92,3809.75,97.41,3,
