version,category,kpi,mean_ms,median_ms,samples,profile,run_id,timestamp,git_rev,host_label
base,client,scenario=1S1O|stage=prove|mode=serial,417.97,418.53,10,quick,run-1772631850-77509,1772631850,unknown-rev,unknown-host
dev,client,scenario=1S1O|stage=prove|mode=serial,2239.26,2241.76,10,quick,run-1772576892-56799,1772576892,unknown-rev,unknown-host
local,client,scenario=1S1O|stage=prove|mode=serial,2306.48,2298.94,10,quick,run-1772574420-37965,1772574420,unknown-rev,unknown-host
base,client,scenario=1S1O|stage=total|mode=concurrent,417.97,418.53,10,quick,run-1772631850-77509,1772631850,unknown-rev,unknown-host
dev,client,scenario=1S1O|stage=total|mode=concurrent,1673.42,1663.01,10,quick,run-1772576892-56799,1772576892,unknown-rev,unknown-host
local,client,scenario=1S1O|stage=total|mode=concurrent,1673.43,1678.78,10,quick,run-1772574420-37965,1772574420,unknown-rev,unknown-host
base,node_abci,flow=abci_roundtrip|metric=latency_ms,531.38,531.32,10,quick,run-1772632001-77620,1772632001,unknown-rev,unknown-host
dev,node_abci,flow=abci_roundtrip|metric=latency_ms,1062.52,1061.45,10,quick,run-1772577459-57005,1772577459,unknown-rev,unknown-host
local,node_abci,flow=abci_roundtrip|metric=latency_ms,957.19,956.96,10,quick,run-1772574994-38621,1772574994,unknown-rev,unknown-host
base,node_abci,flow=block|metric=tps|block_size=100,372.20,372.20,1,quick,run-1772632001-77620,1772632001,unknown-rev,unknown-host
dev,node_abci,flow=block|metric=tps|block_size=100,190.20,190.20,1,quick,run-1772577459-57005,1772577459,unknown-rev,unknown-host
local,node_abci,flow=block|metric=tps|block_size=100,186.58,186.58,1,quick,run-1772574994-38621,1772574994,unknown-rev,unknown-host
base,scanner,block_size=100|match_rate=10%|stage=full,0.00,0.00,10,quick,run-1772631856-77528,1772631856,unknown-rev,unknown-host
dev,scanner,block_size=100|match_rate=10%|stage=full,22.32,22.28,10,quick,run-1772576898-56873,1772576898,unknown-rev,unknown-host
local,scanner,block_size=100|match_rate=10%|stage=full,19.27,19.29,10,quick,run-1772574424-38134,1772574424,unknown-rev,unknown-host
base,validator,batch_size=100|mode=parallel,189.48,189.42,10,quick,run-1772631910-77547,1772631910,unknown-rev,unknown-host
dev,validator,batch_size=100|mode=parallel,471.30,471.18,10,quick,run-1772577087-56893,1772577087,unknown-rev,unknown-host
local,validator,batch_size=100|mode=parallel,482.15,479.31,10,quick,run-1772574619-38174,1772574619,unknown-rev,unknown-host
base,validator,batch_size=per_tx|mode=parallel,1.89,1.89,10,quick,run-1772631910-77547,1772631910,unknown-rev,unknown-host
dev,validator,batch_size=per_tx|mode=parallel,4.71,4.71,10,quick,run-1772577087-56893,1772577087,unknown-rev,unknown-host
local,validator,batch_size=per_tx|mode=parallel,4.82,4.79,10,quick,run-1772574619-38174,1772574619,unknown-rev,unknown-host
